t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
7.593356115044851140e-02,6.348763949779933080e-01,4.575781226695899845e-02,1.001280046419898845e-01,5.219582885138391859e-01,9.449990300065889970e-02,-8.220920233268768085e-01,3.028278951603510238e-01,5.010915183722962629e-01,3.993693597837487674e-01,5.219582885138391859e-01,9.449990300065889970e-02,-8.220920233268768085e-01
7.693268695505967036e-02,6.352284224036335303e-01,4.568520441304702029e-02,1.004940345931081142e-01,5.238631633909214269e-01,9.417357335153986320e-02,-8.199111326593070403e-01,3.078356105418072475e-01,5.012151994443375669e-01,4.053295826706608262e-01,5.238631633909214269e-01,9.417357335153986320e-02,-8.199111326593070403e-01
7.793181275967084320e-02,6.355852881747546812e-01,4.561338705224636525e-02,1.008662479801563094e-01,5.253384293570766417e-01,9.384144794529332423e-02,-8.176883446501497232e-01,3.128292654040138454e-01,5.011841231263249874e-01,4.113168141807950207e-01,5.253384293570766417e-01,9.384144794529332423e-02,-8.176883446501497232e-01
7.893093856428200217e-02,6.359469769097005898e-01,4.554226849514900199e-02,1.012446559890498171e-01,5.263870096084871664e-01,9.350312339171798492e-02,-8.154227596343569529e-01,3.178087379167095494e-01,5.009976622361531629e-01,4.173309736427918692e-01,5.263870096084871664e-01,9.350312339171798492e-02,-8.154227596343569529e-01
7.993006436889316113e-02,6.363134729424335667e-01,4.547175724227373733e-02,1.016292701750264871e-01,5.270119528933651099e-01,9.315817909591188328e-02,-8.131134293687336534e-01,3.227739130681625546e-01,5.006551675518808864e-01,4.233719667053784108e-01,5.270119528933651099e-01,9.315817909591188328e-02,-8.131134293687336534e-01
8.092919017350433397e-02,6.366847603252763221e-01,4.540176199407527924e-02,1.020201024632932801e-01,5.272164331802786652e-01,9.280618044601089689e-02,-8.107593558125312239e-01,3.277246816905529658e-01,5.001559673856319499e-01,4.294396867463324829e-01,5.272164331802786652e-01,9.280618044601089689e-02,-8.107593558125312239e-01
8.192831597811549293e-02,6.370608228309492249e-01,4.533219166108019837e-02,1.024171651494530516e-01,5.270037493123536088e-01,9.244668195530446331e-02,-8.083594898944278517e-01,3.326609394866965053e-01,4.994993671530417734e-01,4.355340162609412369e-01,5.270037493123536088e-01,9.244668195530446331e-02,-8.083594898944278517e-01
8.292744178272666578e-02,6.374416439539073442e-01,4.526295537415270243e-02,1.028204708997138561e-01,5.263773246469205525e-01,9.207923035537345091e-02,-8.059127302663117165e-01,3.375825860583334115e-01,4.986846489382806835e-01,4.416548282282589111e-01,5.263773246469205525e-01,9.207923035537345091e-02,-8.059127302663117165e-01
8.392656758733782474e-02,6.378272069109756082e-01,4.519396249489303352e-02,1.032300327508700044e-01,5.253407066802036063e-01,9.170336763689211634e-02,-8.034179220443102842e-01,3.424895239362336086e-01,4.977110710547199002e-01,4.478019874534283629e-01,5.253407066802036063e-01,9.170336763689211634e-02,-8.034179220443102842e-01
8.492569339194899758e-02,6.382174946412941807e-01,4.512512262617098674e-02,1.036458641100561212e-01,5.238975666567524669e-01,9.131863403471085494e-02,-8.008738555374574908e-01,3.473816576123862632e-01,4.965778676013059001e-01,4.539753518843318014e-01,5.238975666567524669e-01,9.131863403471085494e-02,-8.008738555374574908e-01
8.592481919656015654e-02,6.386125995765871144e-01,4.504794050763259727e-02,1.040671484648848510e-01,5.220320574613780407e-01,9.086039658342770498e-02,-7.979276325449475848e-01,3.522882280575201364e-01,4.951049178516197524e-01,4.601456402528316114e-01,5.220320574613780407e-01,9.086039658342770498e-02,-7.979276325449475848e-01
