t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.04803007,0.00024331,-0.79073860,0.00031911,-2.21095197,-0.00097408,1.59012900,0.78542897,0.03785376,0.02269409,0.02963754,0.28865363,-0.00044965,0.06228960,-0.00022796,0.09295011,-1.51403149,-0.41058276,0.40533822,0.66152361,0.18137517,-0.06050984,3.27566730,6.14231203,3.43641619,-4.54416234,0.92239609,-0.09578161,-0.00886020,0.21455196,1.51403149
0.04903069,0.00028843,-0.79070861,0.00035538,-2.21067193,-0.00097408,1.59019930,0.78543048,0.03951297,0.02482043,0.03138065,0.28619083,-0.00058883,0.06398476,0.00023857,0.09549545,-1.48628960,-0.40819422,0.38839376,0.65955987,0.18025065,-0.06070014,3.34749771,6.24269294,3.50118750,-4.62634011,0.92724134,-0.11866116,-0.01142963,0.21452982,1.48628960
0.05003132,0.00033709,-0.79068706,0.00039522,-2.21040156,-0.00097256,1.59025779,0.78543124,0.04246493,0.02374893,0.03378357,0.28294072,0.00010783,0.06306329,0.00128502,0.09876243,-1.45728532,-0.40443895,0.36838541,0.65756512,0.17879330,-0.06086754,3.40160693,6.38761316,3.55595713,-4.69632403,0.92620224,-0.12268377,-0.01800344,0.21450844,1.45728532
0.05103195,0.00038810,-0.79065366,0.00043302,-2.21013186,-0.00097256,1.59031675,0.78542973,0.04502425,0.02643653,0.03528568,0.27794351,0.00005782,0.06181097,0.00058691,0.10201889,-1.42499679,-0.40076384,0.34483340,0.65549615,0.17697877,-0.06103779,3.46167721,6.48022132,3.62375759,-4.74175039,0.93049309,-0.12431706,-0.01224548,0.21448710,1.42499679
0.05203257,0.00044624,-0.79062716,0.00047115,-2.20986750,-0.00097181,1.59038006,0.78542973,0.04861920,0.02603416,0.03598898,0.27417135,0.00024794,0.06194529,0.00023293,0.10498151,-1.39019333,-0.39737715,0.31903520,0.65338392,0.17493352,-0.06122571,3.50717568,6.61507372,3.70213504,-4.80351901,0.93310284,-0.13594601,-0.00895329,0.21446618,1.39019333
0.05303320,0.00050268,-0.79059810,0.00051240,-2.20961533,-0.00097181,1.59043897,0.78542442,0.05056417,0.02669297,0.03800689,0.26705587,0.00022422,0.06043683,-0.00159736,0.10773127,-1.35318603,-0.39379036,0.29222694,0.65127976,0.17280222,-0.06142872,3.57688801,6.73584433,3.76223500,-4.81716325,0.93729391,-0.13578801,0.00494808,0.21444621,1.35318603
0.05403383,0.00056538,-0.79056905,0.00055766,-2.20935915,-0.00097013,1.59049767,0.78542594,0.05401074,0.02733906,0.04058751,0.26332359,0.00021153,0.06003041,-0.00057330,0.11006695,-1.31412182,-0.39054027,0.26558717,0.64920323,0.17073051,-0.06162252,3.62576505,6.85517229,3.81395240,-4.87841390,0.94138022,-0.14340270,-0.00145235,0.21442592,1.31412182
0.05503445,0.00062798,-0.79053333,0.00060812,-2.20910735,-0.00097150,1.59055624,0.78543067,0.05632226,0.02949705,0.04353339,0.26057652,0.00061431,0.05891905,0.00080494,0.11147029,-1.27351385,-0.38899824,0.23910668,0.64709833,0.16869414,-0.06176404,3.69142812,6.95239154,3.86028710,-4.95292740,0.94275620,-0.14607551,-0.01047872,0.21440596,1.27351385
0.05603508,0.00069524,-0.79049959,0.00065339,-2.20886355,-0.00097297,1.59060583,0.78542853,0.06028909,0.03091592,0.04434935,0.25486518,0.00075345,0.05606013,0.00055061,0.11179174,-1.23249505,-0.38951436,0.21276862,0.64494064,0.16664671,-0.06182793,3.73385801,7.06075069,3.93635465,-4.98494577,0.94599267,-0.13601826,-0.00772451,0.21438664,1.23249505
0.05703570,0.00076778,-0.79046350,0.00070836,-2.20862120,-0.00097396,1.59065844,0.78543008,0.06374857,0.03258520,0.04744704,0.25138608,0.00019476,0.05470612,0.00118788,0.11108494,-1.19265581,-0.39168929,0.18769828,0.64276990,0.16468999,-0.06181960,3.78392694,7.16397420,3.97988218,-5.04789295,0.95416151,-0.13669561,-0.01137681,0.21436743,1.19265581
