t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
4.999665215935719664e-02,7.714693330592030662e-01,-1.018147683899254113e-01,4.730691269116251152e-01,7.065629425786559281e-01,4.539062144015980627e-01,-7.695169944829368669e-01,-1.029104725001806220e-01,6.993094065659603009e-01,3.277621881122677050e-01,7.065629425786559281e-01,4.539062144015980627e-01,-7.695169944829368669e-01
5.099658520254433947e-02,7.715028800320363755e-01,-1.020477879013154121e-01,4.729738283275085609e-01,7.214872484037981870e-01,4.645711689638952757e-01,-7.938884203243181670e-01,-1.050966670500664002e-01,7.162188493076997453e-01,3.357907454047832640e-01,7.214872484037981870e-01,4.645711689638952757e-01,-7.938884203243181670e-01
5.199651824573148229e-02,7.715365474184120442e-01,-1.022898547369741062e-01,4.728766434023273790e-01,7.361110628206781747e-01,4.752231538925164589e-01,-8.186872931854580759e-01,-1.072674509628680495e-01,7.330385872119011825e-01,3.438246782822309000e-01,7.361110628206781747e-01,4.752231538925164589e-01,-8.186872931854580759e-01
5.299645128891862511e-02,7.715702787241729421e-01,-1.025412437227790768e-01,4.727776037637835271e-01,7.504339837224937027e-01,4.858619111657287437e-01,-8.439139075209937113e-01,-1.094221439892938269e-01,7.497688053088994442e-01,3.518639085197688976e-01,7.504339837224937027e-01,4.858619111657287437e-01,-8.439139075209937113e-01
5.399638433210576793e-02,7.716040167117051984e-01,-1.028022295623487598e-01,4.726767408413036220e-01,7.644555976610659664e-01,4.964871722579793367e-01,-8.695685489536977286e-01,-1.115600419176771413e-01,7.664096903439227004e-01,3.599083438314303329e-01,7.644555976610659664e-01,4.964871722579793367e-01,-8.695685489536977286e-01
5.499631737529291770e-02,7.716377033692014553e-01,-1.030730868220351287e-01,4.725740858658565302e-01,7.781754797825755077e-01,5.070986582869648762e-01,-8.956514942743220020e-01,-1.136804165397760080e-01,7.829614307007501939e-01,3.679578777895267661e-01,7.781754797825755077e-01,5.070986582869648762e-01,-8.956514942743220020e-01
5.599625041848006052e-02,7.716712798788685213e-01,-1.033540899154959669e-01,4.724696698705294073e-01,7.915931937585589662e-01,5.176960801637185972e-01,-9.221630114408925216e-01,-1.157825156150350948e-01,7.994242163205927953e-01,3.760123897400347026e-01,7.915931937585589662e-01,5.176960801637185972e-01,-9.221630114408925216e-01
5.699618346166720334e-02,7.717046865840798686e-01,-1.036455130878381203e-01,4.723635236918735103e-01,8.047082917119331436e-01,5.282791387456617915e-01,-9.491033595772609965e-01,-1.178655628332808680e-01,8.157982386158880717e-01,3.840717447139267993e-01,8.047082917119331436e-01,5.282791387456617915e-01,-9.491033595772609965e-01
5.799611650485434616e-02,7.717378629554830782e-01,-1.039476303993244755e-01,4.722556779720112341e-01,8.175203141378226679e-01,5.388475249925764876e-01,-9.764727889707298658e-01,-1.199287577758166579e-01,8.320836903786994476e-01,3.921357933344143398e-01,8.175203141378226679e-01,5.388475249925764876e-01,-9.764727889707298658e-01
5.899604954804148899e-02,7.717707475560690034e-01,-1.042607157086369585e-01,4.721461631615139209e-01,8.300287898189604441e-01,5.494009201254568264e-01,-1.004271541068556983e+00,-1.219712758748891235e-01,8.482807656834120413e-01,4.002043717200628459e-01,8.300287898189604441e-01,5.494009201254568264e-01,-1.004271541068556983e+00
