t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
3.300000000000000155e-01,-6.747754799735338147e-06,-9.409083863623914912e-01,8.667381983259076660e-06,-2.657210996641847789e-01,3.017685595976608951e-05,3.072457558199156669e+00,4.064415719725459529e-05,-5.664006599941673347e-05,4.960098574680658068e-01,7.275324936128452322e-05,3.591671668849136939e-02,2.533019002532639098e-04,-5.669453729278361998e-01,3.411635150455470233e-04,-2.880423971419870661e-04,2.522452363537646125e+00,3.699858037967140596e-04,1.826540451511691754e-01,1.288163868847221755e-03,-2.883194102711205353e+00,1.734983089393251970e-03
3.400000000000000244e-01,-7.328622799210204597e-06,-9.358215940265517396e-01,9.413497540614193467e-06,-2.653527584378386761e-01,3.277457482656279532e-05,3.066643291941283156e+00,4.414293434345991371e-05,-5.953994996033154199e-05,5.214047966290140668e-01,7.647810344124616447e-05,3.775559714909587639e-02,2.662705666001789219e-04,-5.959721009984784157e-01,3.586305604642455705e-04,-2.918920854618879766e-04,2.556164954106840970e+00,3.749306662250851264e-04,1.850952175312701731e-01,1.305380186476931418e-03,-2.921728008731099724e+00,1.758171148514875957e-03
3.500000000000000333e-01,-7.938677904116048814e-06,-9.304792036127564892e-01,1.019710346317431993e-05,-2.649659090233712488e-01,3.550282230659655366e-05,3.060536873933914936e+00,4.781751593669642138e-05,-6.247706646256975999e-05,5.471257895681339578e-01,8.025078211878657736e-05,3.961808758639637912e-02,2.794057418185450534e-04,-6.253715125512667727e-01,3.763218708877220085e-04,-2.954893999563692011e-04,2.587667450055447738e+00,3.795513585535624903e-04,1.873763540952533002e-01,1.321467854829403007e-03,-2.957735749393572977e+00,1.779839069199752339e-03
3.599999999999999867e-01,-8.578279870629797505e-06,-9.248780646548667717e-01,1.101866185193435427e-05,-2.645603232914458536e-01,3.836320727728719052e-05,3.054134703155472419e+00,5.167006891797511870e-05,-6.544890660436807658e-05,5.731508652657230085e-01,8.406806275013956606e-05,4.150259705037820379e-02,2.926962057663483005e-04,-6.551184944402199672e-01,3.942223342971363132e-04,-2.988373079236014240e-04,2.616985836684096345e+00,3.838516922286889697e-04,1.894993364724182616e-01,1.336440144056285067e-03,-2.991247026217122240e+00,1.800004724553361767e-03
3.699999999999999956e-01,-9.247763514275674702e-06,-9.190152450976752929e-01,1.187860277202387910e-05,-2.641357889281444882e-01,4.135722707814204696e-05,3.047433428230760910e+00,5.570261000177399697e-05,-6.845299115694487683e-05,5.994583125550848601e-01,8.792676080600434884e-05,4.340755340731969336e-02,3.061308710030910475e-04,-6.851882305345412538e-01,4.123170174047033733e-04,-3.019387766617549502e-04,2.644146099293412711e+00,3.878354786970068953e-04,1.914660462920646511e-01,1.350310324309226141e-03,-3.022291540720240643e+00,1.818685987681184241e-03
3.800000000000000044e-01,-9.947439006654960685e-06,-9.128880286983773740e-01,1.277732463385175890e-05,-2.636921092468050287e-01,4.448626883777093377e-05,3.040429944460817158e+00,5.991700746334826735e-05,-7.148687056450016731e-05,6.260266801225291555e-01,9.182372987154550383e-05,4.533140333979211734e-02,3.196987827897919041e-04,-7.155562017186185564e-01,4.305911656536924484e-04,-3.047967734689998676e-04,2.669174223184023198e+00,3.915065294050584896e-04,1.932783651834919236e-01,1.363091665739872603e-03,-3.050898994421419985e+00,1.835900731688697813e-03
3.900000000000000133e-01,-1.067759217217588304e-05,-9.064939124280393390e-01,1.371519457425087126e-05,-2.632291029998580223e-01,4.775161080090158751e-05,3.033121390852759003e+00,6.431498292604133533e-05,-7.454812494421574542e-05,6.528347765073717612e-01,9.575586164639310457e-05,4.727261234665979667e-02,3.333891190889863012e-04,-7.461981858920248012e-01,4.490302032184278732e-04,-3.074142656435067521e-04,2.692096193656555947e+00,3.948686557993863000e-04,1.949381747759997285e-01,1.374797438499873866e-03,-3.077099088839155172e+00,1.851666829681383351e-03
4.000000000000000222e-01,-1.143848478478335779e-05,-8.998306038730700118e-01,1.469254883762268564e-05,-2.627466041906640348e-01,5.115442365539453029e-05,3.025505147149631480e+00,6.889811314859490773e-05,-7.763436408625506394e-05,6.798616701019352115e-01,9.972008594464261161e-05,4.922966474308003437e-02,3.471911905647260036e-04,-7.770902579695183610e-01,4.676197330042888411e-04,-3.097942204834460713e-04,2.712937996011639541e+00,3.979256693265330368e-04,1.964473566988877429e-01,1.385440912740878256e-03,-3.100921525491942887e+00,1.866002154764721506e-03
4.100000000000000311e-01,-1.223035486468887961e-05,-8.928960186366896590e-01,1.570969315708198958e-05,-2.622444618853504439e-01,5.469577185925852584e-05,3.017578830860256911e+00,7.366783181245994678e-05,-8.074322745376332584e-05,7.070866891515483754e-01,1.037133706948549538e-04,5.120106366050314328e-02,3.610944405825793806e-04,-8.082087898810421667e-01,4.863455366477094041e-04,-3.119396052869877504e-04,2.731725615549897679e+00,4.006813814330405970e-04,1.978077925814553106e-01,1.395035358614532149e-03,-3.122396005898271820e+00,1.878924580044189028e-03
4.199999999999999845e-01,-1.305341697510027652e-05,-8.856882777404003759e-01,1.676690313560147256e-05,-2.617225400246488420e-01,5.837661496766549348e-05,3.009340294289081896e+00,7.862543130910690594e-05,-8.387238418286738944e-05,7.344894217545459014e-01,1.077327219400564333e-04,5.318533104667240441e-02,3.750884452096309727e-04,-8.395304505717238186e-01,5.051935745161780390e-04,-3.138533873523026364e-04,2.748485037571961165e+00,4.031396035654519617e-04,1.990213640530022754e-01,1.403594046272485388e-03,-3.141552231576640875e+00,1.890451978625268953e-03
